"Date","Price","Open","High","Low","Vol.","Change %"
"03/11/2026","418.60","410.77","422.62","406.04","27.30M","3.84%"
"03/10/2026","403.11","394.01","415.31","393.64","33.75M","3.54%"
"03/09/2026","389.32","363.96","390.00","357.67","35.55M","5.14%"
"03/06/2026","370.30","380.14","391.18","367.45","34.46M","-6.74%"
"03/05/2026","397.05","398.60","404.53","380.30","29.96M","-0.93%"
"03/04/2026","400.77","393.64","407.88","387.61","32.64M","5.55%"
"03/03/2026","379.68","386.55","390.09","374.55","39.01M","-7.99%"
"03/02/2026","412.67","401.47","417.61","397.00","30.05M","0.07%"
"02/27/2026","412.37","401.81","417.96","401.18","28.65M","-0.77%"
"02/26/2026","415.56","424.84","434.00","401.96","35.43M","-3.13%"
"02/25/2026","429.00","426.50","436.89","423.00","27.30M","2.63%"
"02/24/2026","418.01","429.22","436.27","411.28","33.39M","-0.70%"
"02/23/2026","420.97","422.31","431.70","415.30","25.43M","-1.68%"
"02/20/2026","428.17","415.18","430.57","415.15","29.89M","2.59%"
"02/19/2026","417.35","415.81","420.32","407.74","21.65M","-0.86%"
"02/18/2026","420.95","399.50","427.85","394.60","32.31M","5.30%"
"02/17/2026","399.78","400.95","413.66","395.30","28.55M","-2.89%"
"02/13/2026","411.66","405.19","420.88","392.71","33.81M","-0.56%"
"02/12/2026","413.97","422.25","438.77","411.16","45.64M","0.88%"
"02/11/2026","410.34","395.39","414.16","386.57","48.47M","9.94%"
"02/10/2026","373.25","375.99","382.79","366.06","35.43M","-2.67%"
"02/09/2026","383.50","380.69","391.81","370.68","31.01M","-2.84%"
"02/06/2026","394.69","377.96","396.65","372.87","37.20M","3.08%"
"02/05/2026","382.89","369.62","390.93","366.00","38.90M","0.92%"
"02/04/2026","379.40","410.59","413.00","363.90","58.07M","-9.55%"
"02/03/2026","419.44","442.16","442.30","407.53","42.76M","-4.19%"
"02/02/2026","437.80","412.18","442.43","410.00","37.77M","5.52%"
"01/30/2026","414.88","446.46","455.50","407.13","51.02M","-4.80%"
"01/29/2026","435.79","439.37","444.71","417.70","42.68M","0.12%"
"01/28/2026","435.28","422.43","438.94","417.00","42.73M","6.10%"
"01/27/2026","410.24","404.61","416.45","399.60","36.21M","5.44%"
"01/26/2026","389.09","395.50","398.00","384.30","29.19M","-2.64%"
"01/23/2026","399.65","397.16","412.43","390.74","35.40M","0.52%"
"01/22/2026","397.58","396.64","397.78","376.92","39.61M","2.18%"
"01/21/2026","389.11","372.85","394.20","366.73","56.71M","6.61%"
"01/20/2026","365.00","364.68","381.56","361.35","49.74M","0.62%"
"01/16/2026","362.75","353.10","365.81","352.04","47.90M","7.76%"
"01/15/2026","336.63","345.33","347.77","336.27","25.37M","0.98%"
"01/14/2026","333.35","334.84","339.10","328.20","20.28M","-1.41%"
"01/13/2026","338.13","346.27","351.23","335.22","23.88M","-2.24%"
"01/12/2026","345.87","340.55","348.47","339.32","23.15M","0.23%"
"01/09/2026","345.09","332.74","345.80","326.19","33.39M","5.53%"
"01/08/2026","327.02","342.90","343.66","321.36","33.90M","-3.69%"
"01/07/2026","339.55","340.71","346.30","337.18","32.78M","-1.13%"
"01/06/2026","343.43","318.28","344.55","318.06","48.73M","10.02%"
"01/05/2026","312.15","325.13","325.53","309.55","34.61M","-1.04%"
"01/02/2026","315.42","295.13","315.60","294.86","42.60M","10.51%"
"12/31/2025","285.41","293.17","293.17","284.18","17.57M","-2.47%"
"12/30/2025","292.63","294.70","298.83","292.01","23.06M","-0.59%"
"12/29/2025","294.37","280.33","294.50","278.50","26.64M","3.36%"
"12/26/2025","284.79","290.83","290.87","283.42","17.88M","-0.66%"
"12/24/2025","286.68","278.00","289.30","277.25","18.59M","3.77%"
"12/23/2025","276.27","275.92","281.86","272.32","20.77M","-0.12%"
"12/22/2025","276.59","277.15","279.99","268.29","30.96M","4.01%"
"12/19/2025","265.92","251.75","268.38","251.74","62.31M","6.99%"
"12/18/2025","248.55","256.53","263.65","245.00","65.01M","10.21%"
"12/17/2025","225.52","236.55","237.45","221.69","41.96M","-3.01%"
